Process,Product Name,AWS,product sheet link
S-M-A-W,BoLER FOX C-r-M-o 2-V,"A5.5 / SFA-5.5, E9015-G",https://weldingshop.voestalpine.com/DE/en/documents/download/RGF0YXNoZWV0X0JPSExFUl9GT1hfQ3JNb18yVl9TdGljayBlbGVjdHJvZGUucGRmfE9ubGluZXx2b2VzdFByb2R1Y3RDYXRhbG9nMDE0MA==?inline=true
S-M-A-W,Thermanit M-T-S 616,"A5.5 / SFA-5.5, E9015-B92 H4 / E9015-G",https://weldingshop.voestalpine.com/DE/en/documents/download/ZG9jXzIwMjAwOTIyX0RhdGFzaGVldCBUSEVSTUFOSVQgTVRTIDYxNiBTdGljayBlbGVjdHJvZGUucGRmfE9ubGluZXx2b2VzdFByb2R1Y3RDYXRhbG9nMDkyMA==?inline=true
S-M-A-W,Thermanit M-T-S 616 LNi,"A5.5 / SFA-5.5, E9015-B92 H4 / E9015-G",https://weldingshop.voestalpine.com/DE/en/documents/download/RGF0YXNoZWV0X1RoZXJtYW5pdF9NVFNfNjE2X0xOaV9TdGljayBlbGVjdHJvZGUucGRmfE9ubGluZXx2b2VzdFByb2R1Y3RDYXRhbG9nMDE5MA==?inline=true
S-M-A-W,Phoenix Chromo 1,"A5.5 / SFA-5.5, E8018-B2 H4",https://weldingshop.voestalpine.com/DE/en/documents/download/ZG9jXzIwMjAwOTIyX0RhdGFzaGVldCBQSE9FTklYIENIUk9NTyAxIFN0aWNrIGVsZWN0cm9kZS5wZGZ8T25saW5lfHZvZXN0UHJvZHVjdENhdGFsb2cwOTEw?inline=true
G-T-A-W,"Union A-l 99,7","A5.10 / SFA-5.10, ER1070",https://weldingshop.voestalpine.com/DE/en/documents/download/ZG9jXzIwMjAwOTIyX0RhdGFzaGVldCBVTklPTiBBTCA5OSw3IFRJRy5wZGZ8T25saW5lfHZvZXN0UHJvZHVjdENhdGFsb2cwOTIw?inline=true
G-T-A-W,Union A-l-S-i 12,"A5.10 / SFA-5.10, ER4047 A",https://weldingshop.voestalpine.com/DE/en/documents/download/ZG9jXzIwMjAwOTIyX0RhdGFzaGVldCBVTklPTiBBTCBTSSAxMiBUSUcucGRmfE9ubGluZXx2b2VzdFByb2R1Y3RDYXRhbG9nMDkyMA==?inline=true
G-T-A-W,Union A-l-S-i 5,"A5.10 / SFA-5.10, ER4043A",https://weldingshop.voestalpine.com/DE/en/documents/download/ZG9jXzIwMjAwOTIyX0RhdGFzaGVldCBVTklPTiBBTCBTSSA1IFRJRy5wZGZ8T25saW5lfHZvZXN0UHJvZHVjdENhdGFsb2cwOTIw?inline=true
G-T-A-W,Union A-l-S-i 7 Mg,"A5.10 / SFA-5.10, ER4010 (ER4008)",https://weldingshop.voestalpine.com/DE/en/documents/download/RGF0YXNoZWV0X1VuaW9uIEFsU2kgNyBNZ19USUcgcm9kLnBkZnxTdGFnZWR8dm9lc3RQcm9kdWN0Q2F0YWxvZw==?inline=true
S-A-W,diamondspark S 550 H-P,"A5.23 / SFA-5.23, ECNi5",https://weldingshop.voestalpine.com/DE/en/documents/download/RGF0YXNoZWV0X2RpYW1vbmRzcGFya19TXzU1MF9IUF9Db3JlZCB3aXJlLnBkZnxPbmxpbmV8dm9lc3RQcm9kdWN0Q2F0YWxvZzA5MTA=?inline=true
S-A-W,diamondspark S 700 H-P,"A5.23 / SFA-5.23, ECF5",https://weldingshop.voestalpine.com/DE/en/documents/download/RGF0YXNoZWV0X2RpYW1vbmRzcGFya19TXzcwMF9IUF9jb3JlZCB3aXJlLnBkZnxPbmxpbmV8dm9lc3RQcm9kdWN0Q2F0YWxvZzA5MTA=?inline=true
S-A-W,diamondspark S 900 H-P,"A5.23 / SFA-5.23, ECG",https://weldingshop.voestalpine.com/DE/en/documents/download/RGF0YXNoZWV0X2RpYW1vbmRzcGFya19TXzkwMF9IUF9Db3JlZCB3aXJlLnBkZnxPbmxpbmV8dm9lc3RQcm9kdWN0Q2F0YWxvZzQ0MzA=?inline=true
S-A-W,diamondspark S 960 H-P,"A5.23 / SFA-5.23, ECG",https://weldingshop.voestalpine.com/DE/en/documents/download/RGF0YXNoZWV0X2RpYW1vbmRzcGFya19TXzk2MF9IUF9Db3JlZCB3aXJlLnBkZnxPbmxpbmV8dm9lc3RQcm9kdWN0Q2F0YWxvZzAzMTA=?inline=true
F-C-A-W,FOXcore 2307 T-0,"A5.22 / SFA-5.22, E2307T0-4(1)",https://weldingshop.voestalpine.com/DE/en/documents/download/ZG9jXzIwMjAwOTIyX0RhdGFzaGVldF9GT1hjb3JlXzIzMDdfVDBfQ29yZWRfV2lyZS5wZGZ8T25saW5lfHZvZXN0UHJvZHVjdENhdGFsb2cwOTIw?inline=true
F-C-A-W,FOXcore 2307 T-1,"A5.22 / SFA-5.22, E2307T1-4(1)",https://weldingshop.voestalpine.com/DE/en/documents/download/ZG9jXzIwMjAwOTIyX0RhdGFzaGVldF9GT1hjb3JlXzIzMDdfVDFfQ29yZWRfV2lyZS5wZGZ8T25saW5lfHZvZXN0UHJvZHVjdENhdGFsb2cwOTIw?inline=true
F-C-A-W,FOXcore 2209 T-0,"A5.22 / SFA-5.22, E2209T0-4(1)",https://weldingshop.voestalpine.com/DE/en/documents/download/ZG9jXzIwMjAwOTIyX0RhdGFzaGVldF9GT1hjb3JlXzIyMDlfVDBfQ29yZWRfV2lyZS5wZGZ8T25saW5lfHZvZXN0UHJvZHVjdENhdGFsb2cwOTIw?inline=true
F-C-A-W,FOXcore 2209 T-1,"A5.22 / SFA-5.22, E2209T1-4(1)",https://weldingshop.voestalpine.com/DE/en/documents/download/ZG9jXzIwMjAwOTIyX0RhdGFzaGVldF9GT1hjb3JlXzIyMDlfVDFfQ29yZWRfV2lyZS5wZGZ8T25saW5lfHZvZXN0UHJvZHVjdENhdGFsb2cwOTIw?inline=true
